id1	id2	id3	Rn																																													
sample3	gene1	Assay1	650128.8	652436.56	657084.8	658610.9	658768	659761.25	660287.3	661793.7	660488.75	660893.5	661177.75	661741	659254.94	661588.7	661602.4	661096.8	661601	662095.7	660952.44	662803.25	661078.7	660502.7	659559.6	655770.44	652971.2	649461.3	645434.1	642036.44	635489.6	632164.56	634251.3	631833.75	632475.5	628461.25	628858.6	626296.56	626016.94	624194.56	624613.2	621215.06	625153.56	622899.6	620992.4	620590.6	621534.7	622525.06
sample3	gene2	Assay1	386272.75	388258.16	392321.8	392863.12	393642.47	396042.22	397271.03	398106.62	399132.97	399139.28	399490.28	399939.88	401582.8	401047.06	403017.22	402960.22	402319.28	405321	404850.72	403886.47	404765.94	404954.4	406062.5	405831.16	407131.97	408728.06	410064.38	410506.62	411998.78	413031.3	413680.25	415061.44	416302	415143.12	417204.7	417506.3	416338.16	417784.28	418049.53	420018.25	418677.16	419930.53	419304.8	418705.06	420835.66	422377.8
